country,region,w_per_capita_2019,share_of_total_consumption,year,total,new,percentage_share_consumption,avg_w_per_capita_2019,avg_2019_new,gdp_per_capita,gdp_net,gdp_per_capita_total_generation_ratio,gdp_w_per_capita_ratio,gdp_net_total_generation_ratio,growth_rate
South Africa,Africa,44.0,2.0,2016,1450.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Egypt,Africa,17.0,1.65,2016,48.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Morocco,Africa,6.0,1.3,2016,202.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Algeria,Africa,10.0,1.65,2016,219.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Senegal,Africa,8.0,1.65,2016,43.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Namibia,Africa,55.0,1.65,2016,36.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Kenya,Africa,23.33333333333333,1.65,2016,32.0,,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
South Africa,Africa,44.0,2.0,2017,1800.0,13.0,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Egypt,Africa,17.0,1.65,2017,169.0,121.0,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Morocco,Africa,6.0,1.3,2017,204.0,2.0,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Algeria,Africa,10.0,1.65,2017,400.0,181.0,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Senegal,Africa,8.0,1.65,2017,113.0,70.0,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
Namibia,Africa,55.0,1.65,2017,70.0,34.0,1.6500000000000001,23.333333333333336,504.57142857142856,2409.0,2781.0,0.25981449525452976,103.24285714285713,0.29993528904227784,
