country,_2016_total,_2017_new,_2017_total,_2018_new,_2018_total,_2019_new,_2019_total,_2020_new,_2020_total,w_per_capita_2019,share_of_total_consumption,region
China,78070.0,53000.0,131000.0,45000.0,175018,30100.0,204700,49655.0,254355,147.0,6.2,Asia
European Union,101433.0,5717.0,107150.0,8300.0,115234,16000.0,134129,18788.0,152917,295.0,6.0,
United States,40300.0,10600.0,51000.0,10600.0,53184,13300.0,60682,14890.0,75572,231.0,3.4,North America
Japan,42750.0,7000.0,49000.0,6500.0,55500,7000.0,63000,4000.0,67000,498.0,8.3,Asia
Germany,41220.0,1800.0,42000.0,3000.0,45930,3900.0,49200,4583.0,53783,593.0,9.7,Europe
India,9010.0,9100.0,18300.0,10800.0,26869,9900.0,35089,4122.0,39211,32.0,6.5,Asia
Italy,19279.0,409.0,19700.0,420.0,20120,600.0,20800,800.0,21600,345.0,8.3,Europe
Australia,5900.0,1250.0,7200.0,3800.0,11300,3700.0,15928,1699.0,17627,637.0,10.7,Australia
Vietnam,6.0,3.0,9.0,97.0,106,4800.0,5695,10909.0,16504,60.0,4.25,Asia
South Korea,4350.0,1200.0,5600.0,2000.0,7862,3100.0,11200,3375.0,14575,217.0,3.8,Asia
Spain,4669.0,19.0,4688.0,19.0,4707,4004.0,8711,5378.0,14089,186.0,9.0,Europe
United Kingdom,11630.0,900.0,12700.0,408.0,13108,233.0,13346,177.0,13563,200.0,4.0,Europe
France,7130.0,875.0,8000.0,1483.0,9483,900.0,9900,1833.0,11733,148.0,2.8,Europe
Netherlands,2100.0,853.0,2900.0,1300.0,4150,2575.0,6725,3488.0,10213,396.0,8.9,Europe
Brazil,,900.0,1100.0,1313.0,2413,2138.0,4595,3145.0,7881,22.0,1.7,South America
Turkey,832.0,2600.0,3400.0,1600.0,5063,932.0,5995,673.0,6668,73.0,5.9,Asia
South Africa,1450.0,13.0,1800.0,759.0,2559,2.0,2561,3429.0,5990,44.0,2.0,Africa
Taiwan,,,,,2618,1482.0,4100,1717.0,5817,172.0,4.25,Asia
Belgium,3422.0,284.0,3800.0,226.0,4026,505.0,4531,1115.0,5646,394.0,6.6,Europe
Mexico,320.0,150.0,539.0,2700.0,3200,1226.0,4426,1218.0,5644,35.0,3.2,North America
Ukraine,531.0,211.0,742.0,1200.0,2003,1557.0,3560,1800.0,5360,114.0,5.0,Europe
Poland,,,,,487,813.0,1300,2636.0,3936,34.0,4.05,Europe
Canada,2715.0,212.0,2900.0,213.0,3113,197.0,3310,15.0,3325,88.0,0.7,North America
Greece,,,,,2652,111.0,2763,484.0,3247,258.0,9.3,Europe
Chile,1610.0,668.0,1800.0,337.0,2137,511.0,2648,557.0,3205,142.0,9.1,South America
Switzerland,1640.0,260.0,1900.0,346.0,2246,278.0,2524,594.0,3118,295.0,4.7,Europe
Thailand,2150.0,251.0,2700.0,20.0,2720,262.0,2982,6.0,2988,43.0,2.9,Asia
United Arab Emirates,42.0,213.0,255.0,239.0,494,1289.0,1783,756.0,2539,185.0,4.25,Asia
Israel,910.0,60.0,1100.0,-30.0,1070,120.0,1190,1059.0,2249,134.0,4.7,Asia
Austria,1077.0,153.0,1250.0,181.0,1431,147.0,1578,642.0,2220,178.0,3.4,Europe
Czech Republic,2131.0,63.0,2193.0,-115.0,2078,-8.0,2070,3.0,2073,194.0,3.5,Europe
Hungary,,,,,665,612.0,1277,676.0,1953,131.0,4.05,Europe
Egypt,48.0,121.0,169.0,581.0,750,897.0,1647,47.0,1694,17.0,1.65,Africa
