County,Value (Percent)
Virginia,35.7
United States,35.9
Radford City,21.8
Harrisonburg City,22
Manassas Park City,26.7
Lexington City,27.1
Fredericksburg City,27.6
Arlington County,27.8
Charlottesville City,27.8
Lynchburg City,28.3
Manassas City,28.5
Montgomery County,28.5
Prince George County,28.5
Norfolk City,28.6
Loudoun County,29
Prince William County,29.4
Stafford County,30.1
Williamsburg City,30.1
Alexandria City,30.2
Newport News City,30.7
Richmond City,30.8
Prince Edward County,32.2
Chesapeake City,33
Portsmouth City,33
Virginia Beach City,33.9
Fairfax County,34
Fairfax City,34.1
King George County,34.4
Falls Church City,34.5
Hopewell City,34.6
Spotsylvania County,34.7
Hampton City,34.8
Chesterfield County,35.1
Suffolk City,35.3
Winchester City,35.3
Buena Vista City,35.8
Henrico County,35.8
Roanoke City,36.1
Culpeper County,36.2
Martinsville City,36.4
Waynesboro City,36.5
Petersburg City,36.6
York County,36.6
Greensville County,36.8
Emporia City,37
Caroline County,37.1
Colonial Heights City,37.3
King William County,37.4
Albemarle County,38.3
Warren County,38.4
Norton City,38.5
Frederick County,38.6
Fauquier County,38.8
Greene County,38.9
Salem City,38.9
Staunton City,39.2
Nottoway County,39.4
Rockingham County,39.4
Sussex County,39.5
Poquoson City,40
Wise County,40
Franklin City,40.2
Danville City,40.5
Galax City,40.5
Hanover County,40.5
Covington City,40.8
New Kent County,40.8
Appomattox County,41.3
Dinwiddie County,41.4
Buckingham County,41.7
Orange County,41.7
Campbell County,41.9
Fluvanna County,41.9
Roanoke County,42.1
Bristol City,42.3
Brunswick County,42.7
Amherst County,42.9
Isle of Wight County,42.9
Shenandoah County,42.9
Richmond County,43.1
Powhatan County,43.3
Amelia County,43.4
Tazewell County,43.7
Gloucester County,43.8
Augusta County,43.9
Lee County,43.9
Louisa County,43.9
Cumberland County,44.2
Lunenburg County,44.3
Page County,44.5
Smyth County,44.6
Wythe County,44.7
Giles County,44.8
Dickenson County,45.1
Charlotte County,45.2
Madison County,45.3
Craig County,45.4
Russell County,45.7
Pulaski County,45.8
Bedford City and County,46
Southampton County,46.1
Bland County,46.3
Buchanan County,46.4
Washington County,46.4
Halifax County with South Boston City,46.5
Essex County,46.7
James City County,46.8
Scott County,47
Henry County,47.1
Accomack County,47.3
Floyd County,47.3
Pittsylvania County,47.4
Botetourt County,47.6
Clarke County,47.8
Franklin County,47.9
King and Queen County,47.9
Grayson County,48.1
Alleghany County and Clifton Forge City,48.6
Carroll County,48.7
Mecklenburg County,48.7
Westmoreland County,48.7
Goochland County,49.3
Rockbridge County,49.6
Rappahannock County,50.1
Surry County,51.1
Patrick County,51.4
Nelson County,51.6
Northampton County,52
Bath County,52.8
Charles City County,53.6
Mathews County,55.2
Middlesex County,57
Highland County,59.3
Northumberland County,60.7
Lancaster County,61.2
