,county,margin_%,total_votes,population,area,pop_density_sqmi,affiliation_2020,median_household_income,bachelors_or_over_%,age_over_50_%,total_megawatts,project_count,megawatts_per_sqmi,projects_per_100k_people,megwatts_per_1000_people
0,Accomack County,-9.39,16962,33411.0,455.0,73.43076923076923,red,57500.0,21.8,47.3,160.0,2.0,0.3516483516483517,5.986052497680404,4.788841998144323
1,Albemarle County,33.5,64657,117313.0,723.0,162.25864453665284,blue,102617.0,60.6,38.3,138.0,1.0,0.1908713692946058,0.8524204478617033,1.1763402180491505
12,Botetourt County,-44.5,21120,34129.0,543.0,62.85267034990792,red,80467.0,27.5,47.6,80.0,1.0,0.14732965009208104,2.9300594802074484,2.3440475841659585
15,Buchanan County,-67.56,9953,18632.0,504.0,36.96825396825397,red,42216.0,10.8,46.4,75.0,1.0,0.1488095238095238,5.367110347788751,4.025332760841563
16,Buckingham County,-13.21,8126,17115.0,581.0,29.457831325301203,red,59199.0,13.5,41.7,269.5,3.0,0.463855421686747,17.5284837861525,15.746421267893663
18,Campbell County,-44.07,29892,55342.0,504.0,109.80555555555556,red,62608.0,25.7,41.9,200.4,3.0,0.39761904761904765,5.420837700119258,3.621119583679665
20,Carroll County,-62.72,15651,29242.0,476.0,61.4327731092437,red,52575.0,16.7,48.7,20.0,1.0,0.04201680672268908,3.4197387319608783,0.6839477463921757
22,Charlotte County,-24.19,6191,11258.0,475.0,23.701052631578943,red,48892.0,18.7,45.2,150.0,1.0,0.3157894736842105,8.882572392965002,13.323858589447504
25,Chesterfield County,6.68,203884,389793.0,426.0,915.0070422535211,blue,98910.0,42.7,35.1,52.0,1.0,0.12206572769953052,0.25654642335803873,0.13340414014618013
26,Clarke County,-13.63,9337,15598.0,177.0,88.12429378531074,red,114185.0,37.3,47.8,20.0,1.0,0.11299435028248588,6.411078343377357,1.2822156686754713
30,Culpeper County,-19.9,27116,56125.0,381.0,147.30971128608925,red,96098.0,26.4,36.2,100.0,1.0,0.26246719160104987,1.78173719376392,1.78173719376392
36,Essex County,-0.6,6178,10683.0,258.0,41.406976744186046,red,56481.0,17.5,46.7,20.0,1.0,0.07751937984496124,9.360666479453338,1.8721332958906673
45,Frederick County,-27.41,48703,98109.0,415.0,236.40722891566264,red,95603.0,30.3,38.6,205.0,3.0,0.4939759036144578,3.057823441274501,2.089512684870909
49,Gloucester County,-35.51,22282,40154.0,217.0,185.04147465437788,red,83689.0,25.9,43.8,190.0,3.0,0.8755760368663594,7.4712357423917926,4.731782636848134
53,Greensville County,15.58,4574,11150.0,296.0,37.66891891891892,blue,56759.0,13.8,36.8,189.0,3.0,0.6385135135135135,26.90582959641256,16.95067264573991
54,Halifax County,-15.08,18248,33448.0,814.0,41.09090909090909,red,,,,444.0,7.0,0.5454545454545454,20.928007653671372,13.274336283185841
56,Hanover County,-26.79,70967,115309.0,473.0,243.78224101479915,red,109504.0,42.4,40.5,25.0,1.0,0.052854122621564484,0.8672349946665048,0.2168087486666262
58,Henrico County,29.01,183152,338696.0,238.0,1423.09243697479,blue,86397.0,45.7,35.8,40.0,2.0,0.16806722689075632,0.5905000354300021,0.11810000708600044
