locality,margin_%,total_votes,population,area,pop_density_sqmi,affiliation_2020,median_household_income,bachelors_or_over_%,age_over_50_%,total_megawatts,project_count,megawatts_per_sqmi,projects_per_100k_people,megawatts_per_100_people
Accomack County,-9.39,16962,33411.0,455.0,73.43076923076923,red,57500.0,21.8,47.3,160.0,2.0,0.3516483516483517,5.986052497680404,0.47888419981443237
Albemarle County,33.5,64657,117313.0,723.0,162.25864453665284,blue,102617.0,60.6,38.3,138.0,1.0,0.1908713692946058,0.8524204478617033,0.11763402180491504
Alexandria City,62.65,82508,,,,blue,113638.0,65.8,30.2,0.0,0.0,,,
Alleghany County,-44.09,8203,14632.0,446.0,32.80717488789238,red,,,,0.0,0.0,0.0,0.0,0.0
Amelia County,-37.74,7893,13716.0,357.0,38.42016806722689,red,66339.0,16.8,43.4,0.0,0.0,0.0,0.0,0.0
Amherst County,-31.58,17005,31650.0,475.0,66.63157894736842,red,67298.0,23.0,42.9,0.0,0.0,0.0,0.0,0.0
Appomattox County,-46.22,9268,16957.0,334.0,50.76946107784431,red,62337.0,20.5,41.3,0.0,0.0,0.0,0.0,0.0
Arlington County,63.52,130699,239807.0,26.0,9223.346153846154,blue,140160.0,77.1,27.8,0.0,0.0,0.0,0.0,0.0
Augusta County,-47.01,42278,78622.0,971.0,80.97013388259526,red,79972.0,23.3,43.9,0.0,0.0,0.0,0.0,0.0
Bath County,-47.5,2501,4071.0,532.0,7.652255639097745,red,61709.0,15.6,52.8,0.0,0.0,0.0,0.0,0.0
Bedford County,-48.13,48669,82182.0,755.0,108.85033112582782,red,,,,0.0,0.0,0.0,0.0,0.0
Bland County,-68.15,3479,6186.0,359.0,17.231197771587745,red,61375.0,15.4,46.3,0.0,0.0,0.0,0.0,0.0
Botetourt County,-44.5,21120,34129.0,543.0,62.85267034990792,red,80467.0,27.5,47.6,80.0,1.0,0.14732965009208104,2.9300594802074484,0.23440475841659583
Bristol City,-38.87,7806,,,,red,44706.0,23.9,42.3,0.0,0.0,,,
Brunswick County,15.03,7948,15750.0,566.0,27.82685512367491,blue,52978.0,15.6,42.7,0.0,0.0,0.0,0.0,0.0
Buchanan County,-67.56,9953,18632.0,504.0,36.96825396825397,red,42216.0,10.8,46.4,75.0,1.0,0.1488095238095238,5.367110347788751,0.4025332760841563
Buckingham County,-13.21,8126,17115.0,581.0,29.457831325301203,red,59199.0,13.5,41.7,269.5,3.0,0.463855421686747,17.5284837861525,1.5746421267893662
Buena Vista City,-37.39,2776,,,,red,54458.0,24.7,35.8,0.0,0.0,,,
Campbell County,-44.07,29892,55342.0,504.0,109.80555555555556,red,62608.0,25.7,41.9,200.4,3.0,0.39761904761904765,5.420837700119258,0.3621119583679665
Caroline County,-4.17,16288,33477.0,533.0,62.808630393996246,red,86267.0,23.2,37.1,0.0,0.0,0.0,0.0,0.0
Carroll County,-62.72,15651,29242.0,476.0,61.4327731092437,red,52575.0,16.7,48.7,20.0,1.0,0.04201680672268908,3.4197387319608783,0.06839477463921757
Charles City County,19.44,4441,6564.0,182.0,36.06593406593407,blue,70339.0,16.0,53.6,0.0,0.0,0.0,0.0,0.0
Charlotte County,-24.19,6191,11258.0,475.0,23.701052631578943,red,48892.0,18.7,45.2,150.0,1.0,0.3157894736842105,8.882572392965002,1.3323858589447504
Charlottesville City,72.72,24205,,,,blue,69829.0,60.6,27.8,0.0,0.0,,,
Chesapeake City,6.45,127108,,,,blue,94189.0,36.4,33.0,220.0,3.0,,,
Chesterfield County,6.68,203884,389793.0,426.0,915.0070422535211,blue,98910.0,42.7,35.1,52.0,1.0,0.12206572769953052,0.25654642335803873,0.013340414014618013
Clarke County,-13.63,9337,15598.0,177.0,88.12429378531074,red,114185.0,37.3,47.8,20.0,1.0,0.11299435028248588,6.411078343377357,0.12822156686754713
Colonial Heights City,-33.18,9146,,,,red,76250.0,29.5,37.3,0.0,0.0,,,
Covington City,-23.67,2603,,,,red,42724.0,9.6,40.8,0.0,0.0,,,
Craig County,-61.51,3169,4829.0,330.0,14.633333333333333,red,67778.0,17.3,45.4,0.0,0.0,0.0,0.0,0.0
Culpeper County,-19.9,27116,56125.0,381.0,147.30971128608925,red,96098.0,26.4,36.2,100.0,1.0,0.26246719160104987,1.78173719376392,0.17817371937639198
Cumberland County,-14.91,5310,10062.0,298.0,33.76510067114094,red,57057.0,18.2,44.2,0.0,0.0,0.0,0.0,0.0
Danville City,22.09,19389,,,,blue,42778.0,18.3,40.5,0.0,0.0,,,
Dickenson County,-58.13,7303,13411.0,333.0,40.27327327327328,red,43831.0,10.7,45.1,0.0,0.0,0.0,0.0,0.0
Dinwiddie County,-16.37,15092,28576.0,504.0,56.698412698412696,red,83898.0,20.5,41.4,0.0,0.0,0.0,0.0,0.0
Emporia City,36.03,2381,,,,blue,49375.0,15.2,37.0,0.0,0.0,,,
Essex County,-0.6,6178,10683.0,258.0,41.406976744186046,red,56481.0,17.5,46.7,20.0,1.0,0.07751937984496124,9.360666479453338,0.18721332958906675
Fairfax City,41.86,600823,,,,blue,132774.0,62.3,34.1,0.0,0.0,,,
Fairfax City County,38.32,13483,,,,blue,,,,0.0,0.0,,,
Falls Church City,64.13,8819,,,,blue,154734.0,79.7,34.5,0.0,0.0,,,
Fauquier County,-17.27,43661,75865.0,650.0,116.71538461538462,red,129495.0,39.7,38.8,0.0,0.0,0.0,0.0,0.0
Floyd County,-34.24,9408,15658.0,382.0,40.98952879581152,red,61401.0,23.0,47.3,0.0,0.0,0.0,0.0,0.0
Fluvanna County,-4.67,15840,28746.0,287.0,100.1602787456446,red,91959.0,35.6,41.9,0.0,0.0,0.0,0.0,0.0
Franklin City,-42.13,29702,,,,red,65125.0,26.4,40.2,0.0,0.0,,,
Franklin City County,25.58,4058,,,,blue,,,,0.0,0.0,,,
Frederick County,-27.41,48703,98109.0,415.0,236.40722891566264,red,95603.0,30.3,38.6,205.0,3.0,0.4939759036144578,3.057823441274501,0.20895126848709092
Fredericksburg City,34.83,12862,,,,blue,85368.0,46.8,27.6,0.0,0.0,,,
Galax City,-40.22,2638,,,,red,41438.0,18.3,40.5,0.0,0.0,,,
Giles County,-51.43,9176,16533.0,358.0,46.18156424581006,red,64819.0,18.0,44.8,0.0,0.0,0.0,0.0,0.0
Gloucester County,-35.51,22282,40154.0,217.0,185.04147465437788,red,83689.0,25.9,43.8,190.0,3.0,0.8755760368663594,7.4712357423917926,0.47317826368481347
Goochland County,-19.36,16950,28223.0,284.0,99.37676056338027,red,118695.0,47.0,49.3,0.0,0.0,0.0,0.0,0.0
Grayson County,-61.42,8131,15265.0,443.0,34.45823927765237,red,42864.0,13.9,48.1,0.0,0.0,0.0,0.0,0.0
Greene County,-23.9,11311,21744.0,157.0,138.4968152866242,red,85268.0,28.5,38.9,0.0,0.0,0.0,0.0,0.0
Greensville County,15.58,4574,11150.0,296.0,37.66891891891892,blue,56759.0,13.8,36.8,189.0,3.0,0.6385135135135135,26.90582959641256,1.695067264573991
Halifax County,-15.08,18248,33448.0,814.0,41.09090909090909,red,,,,444.0,7.0,0.5454545454545454,20.928007653671372,1.3274336283185841
Hampton City,42.17,65901,,,,blue,67758.0,27.5,34.8,0.0,0.0,,,
Hanover County,-26.79,70967,115309.0,473.0,243.78224101479915,red,109504.0,42.4,40.5,25.0,1.0,0.052854122621564484,0.8672349946665048,0.02168087486666262
Harrisonburg City,31.79,17086,,,,blue,59752.0,36.7,22.0,0.0,0.0,,,
Henrico County,29.01,183152,338696.0,238.0,1423.09243697479,blue,86397.0,45.7,35.8,40.0,2.0,0.16806722689075632,0.5905000354300021,0.011810000708600043
Henry County,-29.11,26105,49385.0,382.0,129.2801047120419,red,48445.0,15.7,47.1,106.0,3.0,0.2774869109947644,6.074719044244204,0.21464007289662854
Highland County,-44.03,1533,2348.0,416.0,5.644230769230769,red,62946.0,35.5,59.3,0.0,0.0,0.0,0.0,0.0
Hopewell City,14.68,9608,,,,blue,48681.0,12.5,34.6,0.0,0.0,,,
Isle of Wight County,-18.37,23456,40942.0,316.0,129.5632911392405,red,96118.0,29.9,42.9,236.0,4.0,0.7468354430379747,9.769918421181183,0.5764251868496898
James City County,4.84,49622,82797.0,143.0,579.0,blue,107046.0,50.2,46.8,20.0,1.0,0.13986013986013987,1.2077732284986171,0.02415546456997234
King and Queen County,-20.9,4115,6747.0,316.0,21.35126582278481,red,72851.0,19.5,47.9,0.0,0.0,0.0,0.0,0.0
King George County,-21.39,14224,28816.0,180.0,160.0888888888889,red,110517.0,35.8,34.4,0.0,0.0,0.0,0.0,0.0
King William County,-37.81,10736,19232.0,275.0,69.93454545454546,red,85212.0,24.3,37.4,0.0,0.0,0.0,0.0,0.0
Lancaster County,-4.6,7152,11062.0,133.0,83.17293233082707,red,67169.0,37.4,61.2,131.0,1.0,0.9849624060150376,9.03995660820828,1.1842343156752846
Lee County,-69.13,9946,21780.0,437.0,49.839816933638446,red,42269.0,12.7,43.9,0.0,0.0,0.0,0.0,0.0
Lexington City,32.04,2762,,,,blue,89598.0,57.3,27.1,0.0,0.0,,,
Loudoun County,25.03,224862,443380.0,520.0,852.6538461538462,blue,178707.0,64.0,29.0,0.0,0.0,0.0,0.0,0.0
Louisa County,-22.93,21915,42109.0,498.0,84.55622489959839,red,80343.0,27.7,43.9,450.2,4.0,0.9040160642570281,9.499156949820703,1.0691301147023202
Lunenburg County,-18.65,6000,12060.0,432.0,27.916666666666668,red,54460.0,11.2,44.3,130.0,1.0,0.30092592592592593,8.291873963515755,1.077943615257048
Lynchburg City,2.61,36363,,,,blue,59808.0,38.5,28.3,20.0,1.0,,,
Madison County,-32.01,8129,14252.0,322.0,44.26086956521739,red,82972.0,27.6,45.3,0.0,0.0,0.0,0.0,0.0
Manassas City,24.16,16968,,,,blue,117919.0,33.2,28.5,0.0,0.0,,,
Manassas Park City,33.07,6087,,,,blue,100668.0,25.5,26.7,0.0,0.0,,,
Martinsville City,26.62,6013,,,,blue,42434.0,21.2,36.4,0.0,0.0,,,
Mathews County,-35.63,5826,8602.0,86.0,100.02325581395348,red,75487.0,30.1,55.2,0.0,0.0,0.0,0.0,0.0
Mecklenburg County,-15.2,16204,30824.0,624.0,49.3974358974359,red,51691.0,21.2,48.7,130.0,2.0,0.20833333333333334,6.488450558006748,0.4217492862704386
