city/county,biden_votes,biden_%,trump_votes,trump_%,other_party_votes,other_party_%,margin_votes,margin_%,total_votes,population,area,pop_density_sqmi,affiliation_2020,median_household_income,bachelors_or_over_%,age_over_50_%
Accomack County,7578,44.68,9172,54.07,212,1.25,-1594,-9.39,16962,33411.0,455.0,73.43076923076923,red,57500.0,21.8,47.3
Albemarle County,42466,65.68,20804,32.18,1387,2.14,21662,33.5,64657,117313.0,723.0,162.25864453665284,blue,102617.0,60.6,38.3
Alexandria City,66240,80.28,14544,17.63,1724,2.09,51696,62.65,82508,,,,blue,113638.0,65.8,30.2
Alleghany County,2243,27.34,5859,71.43,101,1.23,-3616,-44.09,8203,14632.0,446.0,32.80717488789238,red,,,
Amelia County,2411,30.55,5390,68.29,92,1.16,-2979,-37.74,7893,13716.0,357.0,38.42016806722689,red,66339.0,16.8,43.4
Amherst County,5672,33.35,11041,64.93,292,1.72,-5369,-31.58,17005,31650.0,475.0,66.63157894736842,red,67298.0,23.0,42.9
Appomattox County,2418,26.09,6702,72.31,148,1.6,-4284,-46.22,9268,16957.0,334.0,50.76946107784431,red,62337.0,20.5,41.3
Arlington County,105344,80.6,22318,17.08,3037,2.32,83026,63.52,130699,239807.0,26.0,9223.346153846154,blue,140160.0,77.1,27.8
Augusta County,10840,25.64,30714,72.65,724,1.71,-19874,-47.01,42278,78622.0,971.0,80.97013388259526,red,79972.0,23.3,43.9
Bath County,646,25.83,1834,73.33,21,0.84,-1188,-47.5,2501,4071.0,532.0,7.652255639097745,red,61709.0,15.6,52.8
Bedford County,12176,25.02,35600,73.15,893,1.83,-23424,-48.13,48669,82182.0,755.0,108.85033112582782,red,,,
Bland County,532,15.29,2903,83.44,44,1.27,-2371,-68.15,3479,6186.0,359.0,17.231197771587745,red,61375.0,15.4,46.3
Botetourt County,5700,26.99,15099,71.49,321,1.52,-9399,-44.5,21120,34129.0,543.0,62.85267034990792,red,80467.0,27.5,47.6
Bristol City,2313,29.63,5347,68.5,146,1.87,-3034,-38.87,7806,,,,red,44706.0,23.9,42.3
Brunswick County,4552,57.27,3357,42.24,39,0.49,1195,15.03,7948,15750.0,566.0,27.82685512367491,blue,52978.0,15.6,42.7
Buchanan County,1587,15.94,8311,83.5,55,0.56,-6724,-67.56,9953,18632.0,504.0,36.96825396825397,red,42216.0,10.8,46.4
Buckingham County,3471,42.71,4544,55.92,111,1.37,-1073,-13.21,8126,17115.0,581.0,29.457831325301203,red,59199.0,13.5,41.7
Buena Vista City,825,29.72,1863,67.11,88,3.17,-1038,-37.39,2776,,,,red,54458.0,24.7,35.8
Campbell County,8070,27.0,21245,71.07,577,1.93,-13175,-44.07,29892,55342.0,504.0,109.80555555555556,red,62608.0,25.7,41.9
Caroline County,7657,47.01,8336,51.18,295,1.81,-679,-4.17,16288,33477.0,533.0,62.808630393996246,red,86267.0,23.2,37.1
Carroll County,2842,18.16,12659,80.88,150,0.96,-9817,-62.72,15651,29242.0,476.0,61.4327731092437,red,52575.0,16.7,48.7
Charles City County,2624,59.09,1761,39.65,56,1.26,863,19.44,4441,6564.0,182.0,36.065934065934066,blue,70339.0,16.0,53.6
Charlotte County,2317,37.43,3815,61.62,59,0.95,-1498,-24.19,6191,11258.0,475.0,23.701052631578946,red,48892.0,18.7,45.2
Charlottesville City,20696,85.5,3094,12.78,415,1.72,17602,72.72,24205,,,,blue,69829.0,60.6,27.8
