Permit Name,Megawatts,Total Acres,Disturbance Zone Acres,Section 130 Permit,Mitigation Plan,County,Brownfield Site,NOI Received,Application Received,PBR Authorization Letter,Construction Commenced,Commercial Operation Commenced
1650 Cumberland Site 2,2,100,12,YES,No,Cumberland County,No,10/24/23,10/24/23,10/25/23,,
1650 Cumberland Solar Facility,3,101,20,YES,,Cumberland County,No,10/21/22,10/20/22,11/3/22,,
1671 Cumberland Solar Facility,3,66,36,YES,,Prince Edward County,No,10/21/22,11/3/22,,,
2188 Poorhouse Road Solar,3,76,23,YES,,Lunenburg County,No,11/3/22,11/3/22,11/7/22,,
360 Solar Center Project,52,800,450,No,YES,Chesterfield County,No,7/19/22,4/29/24,7/15/24,,
Aditya Solar,11,90,60,No,No,Louisa County,No,1/15/21,3/24/22,6/3/22,,8/21/23
Altavista Solar LLC (FKA Dragonfly),80,"1,200",0,No,YES,Campbell County,No,9/12/18,5/31/19,8/8/19,3/11/20,6/4/21
"Alton Post Office Solar, LLC",75,768,501,No,No,Halifax County,No,10/6/17,9/15/20,12/7/20,9/20/23,12/24/24
Amherst Mays Solar Farm,4.9,50,25,YES,,Amherst County,No,1/26/21,4/27/22,5/3/22,,
Apple Grove Solar,15,225,111,No,YES,Louisa County,No,5/22/20,11/9/21,3/18/22,3/27/23,12/29/23
"Ash Camp Solar, LLC",1.6,11,,YES,No,Charlotte County,No,5/11/18,,6/11/18,,
Augusta CSG LLC,2.9,50,12,YES,,Augusta County,No,11/18/22,11/18/22,11/30/22,,
Axton Solar,66,600,547,No,YES,Henry County,No,8/28/19,3/23/22,6/17/22,10/3/22,12/28/23
BARC Community Solar Project,0.5,5,,YES,No,Bath County,No,11/13/15,,,,
"Bartonsville Energy Facility II, LLC",50,478,407,No,YES,Frederick County,No,2/17/22,6/21/22,9/23/22,9/26/22,
"Bartonsville Energy Facility, LLC",80,"1,160",869,No,No,Frederick County,No,3/18/20,8/16/21,11/1/21,,
Bedford Solar Center,70,566,410,No,No,Chesapeake City,No,11/20/19,1/14/20,4/9/20,7/30/20,11/23/21
"Bedford Solar, LLC",3,100,22,YES,No,Bedford County,No,3/13/17,,3/23/17,,
"Belcher Solar, LLC",88.2,"1,305",0,No,YES,Louisa County,No,10/28/16,6/20/17,8/8/17,1/14/20,6/30/21
Bella Terra Solar,100,"1,056",558,No,YES,Pulaski County,No,12/6/21,2/17/23,10/24/23,,
Blue Rock Solar,100,596,"1,127",No,No,Buckingham County,No,9/19/23,12/27/24,2/6/25,,
"Bluestone Farm Solar, LLC",50,333,0,No,No,Mecklenburg County,No,5/13/16,10/25/17,12/5/17,3/1/19,6/1/21
Bookers Mill Solar,127,"1,600",640,No,,Richmond County,No,3/10/21,9/1/21,11/29/21,8/1/22,
"Bowie Road Solar, LLC",5,20,,YES,,Westmoreland County,No,7/15/24,7/15/24,7/17/24,,
Briel Farm Solar LLC,20,230,105,No,YES,Henrico County,No,2/15/17,4/11/18,6/14/18,,3/2/21
Buchanan County Solar Project,75,"1,188",,YES,No,Buchanan County,YES,2/27/25,2/27/25,3/3/25,,
Buckingham II Solar LLC,20,295,225,No,No,Buckingham County,No,7/25/17,2/20/18,6/18/18,10/7/20,7/28/21
"Buckingham Solar I, LLC",19.8,302,200,No,No,Buckingham County,No,2/18/16,6/9/16,8/9/16,5/13/17,11/30/17
"Caden Energix Hickory, LLC",32,154,145,No,YES,Chesapeake City,No,8/2/18,11/26/18,3/14/19,,8/18/20
Caden Energix Wytheville LLC,20,154,139,No,No,Wythe County,No,8/28/19,6/3/20,7/27/20,9/27/21,6/3/22
Carey and Peyton 5,5,56,39,YES,No,Westmoreland County,No,3/17/23,3/17/23,3/27/23,,
Carver Solar I,91,"1,138",637,No,YES,Isle of Wight County,No,1/16/24,11/22/24,1/31/25,,
Carvers Creek Solar,150,"2,400","1,734",No,YES,Gloucester County,No,11/22/19,8/18/20,11/12/20,10/1/22,12/23/24
Centerville South Solar,5,39,31,YES,No,Chesapeake City,No,3/21/23,3/21/23,3/27/23,,
Centerville Turnpike Solar Facility,3,49,29,YES,,Chesapeake City,No,11/3/22,11/3/22,1/5/23,,
Chaberton Solar Leatherman,5,40,18,YES,No,Hanover County,No,5/29/24,5/29/24,12/16/24,,
"Chesapeake Solar Project, LLC",118,940,0,No,YES,Chesapeake City,No,6/15/18,11/2/21,1/14/22,11/11/22,12/20/23
"Correctional Solar, LLC",20,"1,690",460,No,YES,Gloucester County,No,5/30/16,8/29/16,10/17/16,5/1/17,11/29/17
Courthouse Hwy Solar 1,3,14,5,YES,No,Isle of Wight County,No,2/16/24,2/14/24,2/23/24,,
"Cow Creek Solar, LLC",1,9,,YES,,Gloucester County,No,1/4/21,1/4/21,4/2/21,,
"Crystal Hill Solar, LLC",65,629,0,No,No,Halifax County,No,10/6/17,10/9/19,12/17/19,3/8/23,12/29/23
"Cunningham Solar, LLC",5,62,30,YES,,Fluvanna County,No,6/2/21,,8/6/21,,
CVE Johnson North,3,110,24,YES,No,Suffolk City,No,9/15/23,9/15/23,9/22/23,,
CVE Johnson South,5,137,29,YES,No,Suffolk City,No,9/15/23,9/15/23,9/22/23,,
CVE Murphy Solar Project,2.6,13,,YES,No,Petersburg City,No,,5/15/24,5/22/24,,
Danville BESS 1,10.5,1,,YES,No,Danville City,No,8/9/22,8/9/22,10/14/22,2/28/22,
"Danville Farm, LLC",12,191,0,No,No,Pittsylvania County,No,8/9/18,5/9/19,7/10/19,12/15/19,8/26/20
Depot Solar,15,150,0,No,No,Campbell County,No,9/21/18,8/27/19,11/5/19,,7/15/22
Dept. of Veterans Affairs Medical Center,1.7,6,,YES,No,Salem City,No,7/2/13,,7/9/13,,
DG Revolution Solar,5,101,38,YES,,Richmond County,No,7/17/24,7/17/24,7/19/24,,
Dogwood Lane Solar,4,33,,YES,No,Lunenburg County,No,11/29/22,11/29/22,12/8/22,,
Dry Fork Solar 1,3,47,21,YES,No,Pittsylvania County,No,1/18/23,1/18/23,1/24/23,,
