,permit_name,megawatts,total_acres,city/county,application_received,pbr_authorization_letter,construction_commenced,commercial_operation_commenced,total_project_mi
0,360 Solar Center Project,52.0,800.0,Chesterfield County,4/29/24,7/15/24,,,1.25
1,Altavista Solar LLC (FKA Dragonfly),80.0,1200.0,Campbell County,5/31/19,8/8/19,3/11/20,6/4/21,1.875
2,"Alton Post Office Solar, LLC",75.0,768.0,Halifax County,9/15/20,12/7/20,9/20/23,12/24/24,1.2000000000000002
3,Axton Solar,66.0,600.0,Henry County,3/23/22,6/17/22,10/3/22,12/28/23,0.9375
4,"Bartonsville Energy Facility II, LLC",50.0,478.0,Frederick County,6/21/22,9/23/22,9/26/22,,0.7468750000000001
5,"Bartonsville Energy Facility, LLC",80.0,1160.0,Frederick County,8/16/21,11/1/21,,,1.8125
6,Bedford Solar Center,70.0,566.0,Chesapeake City,1/14/20,4/9/20,7/30/20,11/23/21,0.884375
7,"Belcher Solar, LLC",88.2,1305.0,Louisa County,6/20/17,8/8/17,1/14/20,6/30/21,2.0390625
8,Bella Terra Solar,100.0,1056.0,Pulaski County,2/17/23,10/24/23,,,1.6500000000000001
9,Blue Rock Solar,100.0,596.0,Buckingham County,12/27/24,2/6/25,,,0.93125
10,"Bluestone Farm Solar, LLC",50.0,333.0,Mecklenburg County,10/25/17,12/5/17,3/1/19,6/1/21,0.5203125000000001
11,Bookers Mill Solar,127.0,1600.0,Richmond County,9/1/21,11/29/21,8/1/22,,2.5
12,Briel Farm Solar LLC,20.0,230.0,Henrico County,4/11/18,6/14/18,,3/2/21,0.359375
13,Buchanan County Solar Project,75.0,1188.0,Buchanan County,2/27/25,3/3/25,,,1.8562500000000002
14,Buckingham II Solar LLC,20.0,295.0,Buckingham County,2/20/18,6/18/18,10/7/20,7/28/21,0.4609375
15,"Caden Energix Hickory, LLC",32.0,154.0,Chesapeake City,11/26/18,3/14/19,,8/18/20,0.240625
16,Caden Energix Wytheville LLC,20.0,154.0,Wythe County,6/3/20,7/27/20,9/27/21,6/3/22,0.240625
17,Carver Solar I,91.0,1138.0,Isle of Wight County,11/22/24,1/31/25,,,1.7781250000000002
18,Carvers Creek Solar,150.0,2400.0,Gloucester County,8/18/20,11/12/20,10/1/22,12/23/24,3.75
19,"Chesapeake Solar Project, LLC",118.0,940.0,Chesapeake City,11/2/21,1/14/22,11/11/22,12/20/23,1.46875
20,"Correctional Solar, LLC",20.0,1690.0,Gloucester County,8/29/16,10/17/16,5/1/17,11/29/17,2.640625
21,"Crystal Hill Solar, LLC",65.0,629.0,Halifax County,10/9/19,12/17/19,3/8/23,12/29/23,0.9828125000000001
22,"Eastern Shore Solar, LLC",80.0,1003.0,Accomack County,6/8/15,9/28/15,9/28/15,10/30/16,1.5671875000000002
23,"Energix Nokesville, LLC",20.0,300.0,Prince William County,5/21/19,2/20/20,10/26/21,5/20/24,0.46875
24,Essex Solar Center LLC,20.0,419.0,Essex County,10/11/16,12/7/16,5/12/17,12/14/17,0.6546875000000001
25,Fisher Chewning Solar,150.0,1620.0,Louisa County,6/15/22,10/7/22,,,2.53125
26,"Fort Powhatan Solar, LLC",150.0,3086.0,Prince George County,1/9/20,3/19/20,8/3/20,1/19/22,4.821875
27,"Foxglove Solar, LLC",75.0,672.0,Frederick County,4/19/21,8/4/21,8/21/23,10/10/24,1.05
28,Foxhound Solar,83.0,1125.0,Halifax County,9/11/19,12/17/19,1/17/23,,1.7578125
29,Gladys Solar LLC,60.4,1108.0,Campbell County,1/25/24,3/8/24,,,1.7312500000000002
30,"Gloucester Solar, LLC",20.0,204.0,Gloucester County,11/30/17,2/12/18,8/18/18,4/22/19,0.31875000000000003
31,"Grasshopper Solar, LLC",80.0,927.0,Mecklenburg County,5/9/19,9/5/19,9/25/19,9/29/20,1.4484375
32,Greensville County Solar Project,80.0,1125.0,Greensville County,7/18/19,10/15/19,12/20/19,12/1/20,1.7578125
